0.000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000
0.023|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000
0.046|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000
0.070|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000
0.093|0.8235|0.8235|0.7988|0.7988|0.7740|0.7740|0.7740|0.7740|0.7532|0.7532|0.7325|0.7325|0.7598|0.7598|0.7871|0.7871|0.7798|0.7798|0.6701|0.6701|0.3023|0.3023|0.2110|0.2110|0.2261|0.2261|0.0834|0.0834|0.1840|0.1840|0.1444|0.1444|0.0633|0.0633|0.0921|0.0921|0.0600|0.0600|0.0496|0.0496|0.0424|0.0424|0.0383|0.0383|0.0160|0.0160|0.0190|0.0190|0.0236|0.0236|0.0742|0.0742|0.0270|0.0270|0.0210|0.0210|0.0145|0.0145|0.0040|0.0040
0.116|6.3121|6.3121|5.1442|5.1442|3.9764|3.9764|3.9764|3.9764|5.2993|5.2993|6.6223|6.6223|6.0972|6.0972|5.5722|5.5722|3.8042|3.8042|2.6328|2.6328|3.2460|3.2460|2.4791|2.4791|1.1408|1.1408|1.1178|1.1178|0.9358|0.9358|0.6511|0.6511|0.3901|0.3901|0.2867|0.2867|0.2652|0.2652|0.3002|0.3002|0.1986|0.1986|0.1735|0.1735|0.1045|0.1045|0.1286|0.1286|0.0818|0.0818|0.1780|0.1780|0.1247|0.1247|0.0775|0.0775|0.0729|0.0729|0.0258|0.0258
0.139|5.8369|5.8369|8.4462|8.4462|11.0555|11.0555|11.0555|11.0555|7.8972|7.8972|4.7389|4.7389|8.4150|8.4150|12.0911|12.0911|9.3393|9.3393|5.6016|5.6016|3.8880|3.8880|2.9713|2.9713|1.8756|1.8756|0.6870|0.6870|1.4021|1.4021|1.0595|1.0595|0.8499|0.8499|0.4712|0.4712|0.3454|0.3454|0.4019|0.4019|0.2449|0.2449|0.2433|0.2433|0.2416|0.2416|0.1914|0.1914|0.1036|0.1036|0.4063|0.4063|0.2337|0.2337|0.1421|0.1421|0.1175|0.1175|0.0102|0.0102
0.163|2.8768|2.8768|24.1839|24.1839|45.4911|45.4911|45.4911|45.4911|33.1416|33.1416|20.7921|20.7921|16.5706|16.5706|12.3490|12.3490|11.9039|11.9039|5.8371|5.8371|4.3617|4.3617|4.0888|4.0888|7.0657|7.0657|5.4873|5.4873|4.5285|4.5285|3.3444|3.3444|2.2419|2.2419|1.3937|1.3937|1.2004|1.2004|1.1989|1.1989|1.0096|1.0096|0.6517|0.6517|0.4604|0.4604|0.4538|0.4538|0.3424|0.3424|0.6862|0.6862|0.3834|0.3834|0.2230|0.2230|0.1921|0.1921|0.1271|0.1271
0.186|12.2243|12.2243|36.1555|36.1555|60.0868|60.0868|60.0868|60.0868|50.5592|50.5592|41.0316|41.0316|22.2637|22.2637|3.4958|3.4958|9.4130|9.4130|13.3405|13.3405|6.9754|6.9754|4.8898|4.8898|4.9494|4.9494|5.8405|5.8405|8.3210|8.3210|3.8076|3.8076|2.3818|2.3818|1.4057|1.4057|1.0581|1.0581|1.6416|1.6416|1.1951|1.1951|0.9414|0.9414|0.6531|0.6531|0.5434|0.5434|0.2919|0.2919|0.8241|0.8241|0.4816|0.4816|0.2911|0.2911|0.2099|0.2099|0.0242|0.0242
0.209|34.2352|34.2352|33.8098|33.8098|33.3843|33.3843|33.3843|33.3843|25.6560|25.6560|17.9277|17.9277|34.6744|34.6744|51.4212|51.4212|26.4475|26.4475|7.4517|7.4517|10.8274|10.8274|7.1016|7.1016|6.8989|6.8989|11.9006|11.9006|8.1685|8.1685|4.1813|4.1813|3.6458|3.6458|1.6747|1.6747|1.9719|1.9719|1.7599|1.7599|1.6494|1.6494|1.2744|1.2744|0.9188|0.9188|0.9088|0.9088|0.5154|0.5154|1.0789|1.0789|0.6680|0.6680|0.4869|0.4869|0.2882|0.2882|0.1270|0.1270
